,CONTRACT_KEY,CONSUMPTION_VAR
0,142404951,77.4779114767
1,142404952,119.815434507
2,142404960,163.668976199
3,142405010,123.185478349
4,142405022,95.9642131413
5,142405038,44.9144631171
6,142405123,40.1754253139
7,142405133,18.4084699397
8,142405136,23.8622299525
9,142405146,11.9139197503
10,142405204,20.5561974492
11,142405304,10.0434468745
12,142405312,55.529009441
13,142405364,63.1695479994
14,142405389,67.4314030893
15,142405434,49.7662923933
16,142405460,138.142698171
17,142405481,6.58809508954
18,142405509,22.574009454
19,142405627,109.148118677
20,142405691,0.261612139178
21,142405736,427.439406586
22,142405746,14.6712453748
23,142405781,
24,142405814,56.7379179671
25,142405827,36.3289345444
26,142405877,58.2279535496
27,142405904,29.1393659771
28,142405920,48.1111100155
29,142405996,331.282909715
30,142406151,9.64664473233
31,142406152,132.632096447
32,142406157,13.2158716336
33,142406192,93.7473621015
34,142406218,23.9046550463
35,142406226,65.3456058279
36,142406275,155.027692235
37,142406353,28.0019652312
38,142406373,33.9889056417
39,142406413,8.74831546735
40,142406482,56.8997369678
41,142406487,628.696463292
42,142406504,39.3018525086
43,142406618,0.1381067932
44,142406670,12.2317271879
45,142406681,29.8069582238
46,142406769,31.0822225236
47,142406864,85.1896405817
48,142406892,104.356219224
49,142406930,109.221705368
50,142406939,161.909955713
51,142406943,38.8999483799
52,142406999,103.68354851
53,142407035,188.421254628
54,142407103,26.5462774825
55,142407157,11.1614995408
56,142407170,89.2158596027
57,142407175,34.3235360043
58,142407198,879.949124467
59,142407264,354.513904344
60,142407286,287.782275056
61,142407287,84.387457232
62,142407331,146.640572519
63,142407380,13.0237783848
64,142407394,0.146484375
65,142407460,36.9468718446
66,142407492,48.8044411011
67,142407533,34.8881376033
68,142407566,43.0297440113
69,142407595,1.1739077422
70,142407604,932.552991244
71,142407607,184.268614586
72,142407634,32.4283903265
73,142407642,87.8504364101
74,142407680,152.841078943
75,142407699,227.213031625
76,142407709,710.973571452
77,142407858,37.2591016433
78,142407957,141.881862932
79,142407997,4.58365481807
80,142408066,52.6662779691
81,142408249,89.2398553101
82,142408329,59.581624609
83,142408414,24.066122838
84,142408488,201.049358177
85,142408572,0.542995680912
86,142408588,69.5135140152
87,142408635,88.819230723
88,142408649,365.040595586
89,142408655,0.0
90,142408657,83.1541440328
91,142408726,405.895706527
92,142408730,8.65443819176
93,142408780,121.476044456
94,142408839,41.0447545092
95,142408848,11.7846144368
96,142408854,25.0068986129
97,142408881,46.7360781831
98,142408887,15.9647489097
99,142408993,130.416925089
100,142409013,338.082846486
101,142409032,331.430557518
102,142409055,192.747079033
103,142409179,1.66562579527
104,142409224,94.5539107902
105,142409284,63.8153473532
106,142409286,60.7609306391
107,142409289,84.7533279071
108,142409305,229.181176942
109,142409310,45.1922649318
110,142409353,126.844965796
111,142449455,123.767947569
112,142449485,378.321619286
113,142449494,64.2873024154
114,142449645,11.7270698166
115,142449657,334.626548406
116,142449731,338.729995395
117,142449928,42.3482907659
118,142449972,640.164091508
119,142449985,19.0367570671
120,142450006,115.208877589
121,142450009,207.41407995
122,142450033,16.2316372884
123,142450120,13.3061089169
124,142450157,7.99346615844
125,142450180,305.331471198
126,142450201,73.4940881151
127,142450214,42.776116546
128,142450223,40.6425810498
129,142450300,511.395303279
130,142450351,34.0034480061
131,142450379,12.2315452453
132,142450397,79.7401043734
133,142450427,4.11478767554
134,142450540,54.2526739944
135,142450541,16.9882748419
136,142450646,29.1115188556
137,142450664,13.6769297142
138,142450665,425.166828922
139,142450698,8.55918666812
140,142450699,10.9033985955
141,142450714,115.462103242
142,142450759,0.635972660477
143,142450796,244.002464889
144,142450799,17.4393221647
145,142450822,203.770481098
146,142450882,196.030805606
147,142450925,774.547414593
148,142450988,259.765709871
149,142451026,2.84929465049
150,142451151,18.4303508783
151,142451234,123.083323225
152,142451344,0.052199461311
153,142451348,60.3686853407
154,142451418,182.105366658
155,142451427,59.8357997903
156,142451428,252.024481982
157,142451487,90.4839557498
158,142451526,44.9615161121
159,142451542,107.396805448
160,142451556,111.789216169
161,142451566,161.986333131
162,142451578,99.984466112
163,142451590,49.957858986
164,142451613,65.3685879012
165,142451626,46.6591499489
166,142451633,65.6595975738
167,142451656,174.829360531
168,142451659,28.4234108326
169,142451670,31.2147126491
170,142451761,206.869466515
171,142451843,3.95604847406
172,142451854,206.536382112
173,142452103,115.718615401
174,142452111,15.7081687276
175,142452172,228.57443183
176,142452180,
177,142452600,123.641880865
178,142452647,38.5287033119
179,142452648,80.832031363
180,142452769,118.882431338
181,142452831,74.917639373
182,142452853,25.7257210186
183,142452856,0.441652072807
184,142452893,162.645052873
185,142452969,36.9767752023
186,142452973,72.1727258666
187,142453181,223.739309491
188,142453260,33.8220896366
189,142453276,31.4536697653
190,142453277,6.59148912423
191,142453319,423.773150711
192,142453340,110.781772597
193,142453354,132.151333
194,142453384,127.886552846
195,142453415,104.071265111
196,142453416,62.040642252
197,142453516,3.77802399869
198,142453537,54.6321906679
199,142453590,51.445212488
200,142453730,114.147993168
201,142453819,58.1284635707
202,142453831,87.1020742018
203,142453839,161.489369701
204,142453844,1.26140741911
205,142453960,87.3125357756
206,142453987,139.908295472
207,142454171,126.977533153
208,142454211,43.7512643419
209,142454237,265.50127671
210,142454360,58.4123423335
211,142454361,15.6397382382
212,142454362,5.82666881439
213,142454550,47.2481367791
214,142454583,35.4002795087
215,142454700,
216,142454774,28.6382479314
217,142454859,139.731478552
218,142454922,2.3813844782
219,142454943,28.189451775
220,142455251,86.6495650186
221,142455354,9.40100277992
222,142455382,21.5087569523
223,142455420,3.12531229879
224,142455644,74.083303607
225,142455804,29.0261097508
226,142455912,124.780552195
227,142455927,41.3976375821
228,142456003,47.2293716114
229,142456026,17.4955766001
230,142456093,31.2476541274
231,142456258,19.3112827604
232,142456360,68.8217846236
233,142456393,106.069054321
234,142456426,12.8501823788
235,142456435,0.0
236,142456483,77.2599497853
237,142456515,56.3312087432
238,142456523,85.2886129619
239,142456701,6.68182656568
240,142456735,714.323372314
241,142456743,5.40068946015
242,142456746,
243,142456753,0.469563096882
244,142456757,1.94036514624
245,142456807,90.5279705167
246,142456862,188.121851212
247,142456869,65.4701069187
248,142456886,5.49630359533
249,142456910,116.070133906
250,142456968,48.82610754
251,142456988,120.496674587
252,142457035,13.1914850814
253,142457112,19.7895877219
254,142457114,51.3328253101
255,142457120,21.7490581659
256,142457185,70.9320565864
257,142457190,82.8305685589
258,142457270,96.6864427688
259,142457290,84.6840050184
260,142457301,2.9952566124
261,142457385,448.304838272
262,142457392,125.932997712
263,142457441,0.345266983001
264,142457451,52.8771934782
265,142457474,42.7762799412
266,142457485,2.15598251662
267,142457490,96.2363655375
268,142457631,198.20062809
269,142457684,67.7481177961
270,142457713,38.5967575693
271,142457718,3.67777813834
272,142457743,7.37749673787
273,142457752,59.3553511597
274,142457753,128.720964051
275,142457766,262.649108767
276,142457775,103.793750726
277,142457804,5.07127708827
278,142457813,133.655454424
279,142457862,317.228391777
280,142457884,60.7722586741
281,142457886,61.4944193664
282,142458073,172.168650849
283,142458117,1668.42270235
284,142458118,219.545560449
285,142458126,418.544991043
286,142458139,42.9785189621
287,142458159,11.0281008943
288,142458190,35.104225397
289,142458215,40.1738496852
290,142498305,124.940936989
291,142498334,108.895572844
292,142498343,69.4483947841
293,142498351,172.944231785
294,142498355,195.08097987
295,142498381,33.761072888
296,142498384,195.949247227
297,142498401,51.296505007
298,142498404,22.3415930358
299,142498428,60.6454680146
300,142498437,6.66428302224
301,142498451,293.565605859
302,142498484,22.50018387
303,142498492,103.583056607
304,142498494,114.032756022
305,142498496,8.88799929578
306,142498505,94.9026064557
307,142498570,46.3287014801
308,142498599,60.380175874
309,142498618,58.3520308586
310,142498741,26.8496187608
311,142498834,126.379970392
312,142498838,3.72888341641
313,142498861,199.457641236
314,142498900,225.93559745
315,142499162,356.571181457
316,142499253,3.15209405313
317,142499535,0.13120212789
318,142499653,110.114383139
319,142499672,0.345266983001
320,142499717,24.9595638792
321,142499878,30.2803808217
322,142499891,106.41368385
323,142499928,120.201104738
324,142499941,38.9913269065
325,142499949,29.2254608615
326,142499960,244.408802284
327,142500011,6.90427833321
328,142500096,96.8038380117
329,142500097,180.329929771
330,142500127,5.93313781388
331,142500382,22.5598435108
332,142500478,
333,142500569,207.21696634
334,142500583,6.40713617672
335,142500705,143.87076177
336,142500718,70.94302781
337,142500728,46.7324750919
338,142500752,3.73379911538
339,142500866,278.103886832
340,142500958,694.315022013
341,142500969,1119.07337401
342,142501301,6.2882610328
343,142501364,39.0943250208
344,142501489,23.2422695639
345,142501751,45.9949523881
346,142501761,501.991718526
347,142501788,26.1392388278
348,142501814,27.6339342702
349,142501845,92.0870859517
350,142501913,208.39963602
351,142501922,62.5282989488
352,142502073,165.89903493
353,142502111,490.123357335
354,142502172,10.4824355806
355,142502209,66.2476618496
356,142502333,895.225867604
357,142502349,12.2298268742
358,142502476,108.905032687
359,142502548,19.7461060437
360,142502605,57.7417590818
361,142502693,112.694453297
362,142502725,646.941165376
363,142502755,34.8684772289
364,142502810,44.8918302778
365,142502859,56.4805631527
366,142503064,53.376275766
367,142503071,1.34321572453
368,142503149,
369,142503249,0.0
370,142503360,91.7994118895
371,142503560,96.8646149972
372,142503582,34.5513089739
373,142503600,34.5052988726
374,142503609,18.7255990849
375,142503728,21.2403436894
376,142503760,10.4961162832
377,142503846,114.142227513
378,142503900,8.80818362164
379,142503981,57.1786963886
380,142504008,4.99591262962
381,142504009,129.914115048
382,142504041,157.767702547
383,142504077,0.0
384,142504127,
385,142504221,262.700236493
386,142504385,127.785505228
387,142504490,17.4799104097
388,142504527,
389,142504594,663.177669507
390,142504601,116.092463633
391,142504623,13.8312284397
392,142504733,101.526193153
393,142504752,0.708865993905
394,142504840,108.718723363
395,142504843,49.5432253893
396,142504853,167.346491231
397,142504864,174.700965367
398,142504933,48.7468813024
399,142504938,50.6856021191
400,142504997,111.087476137
401,142505019,111.142513957
402,142605225,206.578125526
403,142605351,100.137631138
404,142605362,96.3379358597
405,142605416,32.3505247325
406,142605599,270.220762307
407,142605624,0.0563818622255
408,142606166,235.543028689
409,142606781,13.8748541452
410,142606800,48.2582316536
411,142606844,486.571673033
412,142607111,203.727288654
413,142607113,108.526085743
414,142607115,10.6966400816
415,142607133,34.3396224729
416,142607254,40.9737452472
417,142607350,20.7533832715
418,142607417,0.163410161432
419,142607958,48.2144501253
420,142608018,86.1543383387
421,142608084,729.471414094
422,142608114,
423,142608151,35.2843832272
424,142608416,49.7140591262
425,142608806,58.7313826452
426,142609125,4.39425997427
427,142609245,2.62402907081
428,142609294,14.8474136459
429,142609328,644.422310314
430,142609373,213.389517071
431,142609398,48.7059004153
432,142609433,1.33855046322
433,142609445,59.3652763632
434,142609540,131.32450018
435,142609621,47.5560392311
436,142609657,82.7646219433
437,142609843,100.609306832
438,142609888,156.095607536
439,142609952,22.417880713
440,142609977,688.119668885
441,142610013,36.9631490435
442,142610025,21.0830864854
443,142610050,98.6765396596
444,142610066,8.7592820481
445,142610297,74.333233669
446,142610596,47.7105959298
447,142610707,510.205043279
448,142610820,19.5937283866
449,142610871,23.0568855065
450,142610898,63.121145036
451,142610901,4.94508688825
452,142610934,10.8804558075
453,142610946,141.385008305
454,142610984,70.9858358586
455,142611004,17.6219180249
456,142611104,40.1416623689
457,142611162,135.350000678
458,142611180,51.665716165
459,142611215,0.122881735639
460,142611231,15.1038100331
461,142611241,4.57618739085
462,142611301,194.173173569
463,142611330,121.423140225
464,142611451,3.66618814063
465,142611454,52.5527923173
466,142611559,99.1575466174
467,142611797,29.3790220321
468,142611856,1.39139101722
469,142611860,41.5744060087
470,142612141,89.5569990703
471,142612188,
472,142612331,62.4025990631
473,142612475,59.8888501376
474,142612476,14.3086838546
475,142612515,81.5429030532
476,142612550,19.5401307857
477,142612551,134.88713854
478,142612585,82.9419948344
479,142612621,38.3792143951
480,142612651,105.140339085
481,142612710,41.373581466
482,142612771,143.121556442
483,142613264,40.2002067752
484,142613266,135.15783418
485,142613279,116.559430395
486,142613319,268.917985887
487,142613406,29.8089294979
488,142613533,501.300846132
489,142613535,18.9777475774
490,142613582,296.400335458
491,142613670,285.131641883
492,142613722,223.472803399
493,142613765,87.4367456529
494,142613776,299.135923846
495,142613823,57.9786693004
496,142613834,60.963811693
497,142613951,12.4953273252
498,142614007,17.3886973486
499,142614033,73.0930764472
500,142614063,72.9937995364
501,142614068,
502,142614111,363.574336376
503,142614143,326.665822975
504,142614195,72.947357374
505,142614202,27.7787913132
506,142614214,59.1233154976
507,142614220,111.39261552
508,142614226,576.802276793
509,142614349,180.070084348
510,142619140,330.552227678
511,142628881,0.0
512,142630898,34.0892314271
513,142632405,14.8186985503
514,142634765,1.00971801051
515,142635126,90.4317931283
516,142659305,49.9819897238
517,142659600,64.4972542426
518,142666553,682.426440435
519,142669885,14.9775713797
520,142671944,307.089764224
521,142672517,
522,142673835,48.2630427828
523,142674993,123.176887689
524,142674999,86.1085639944
525,142675034,
526,142675060,
527,142675061,160.679118973
528,142675176,47.9956410601
529,142675214,97.5042339426
530,142675287,25.3896113387
531,142675333,30.5548994801
532,142675334,115.401032139
533,142675356,2.43240528263
534,142675371,33.6772439189
535,142675444,3.32289157009
536,142675530,7.44808340886
537,142675534,201.188875454
538,142675561,30.8785701148
539,142675631,11.3729992738
540,142675662,6.82569917817
541,142675792,53.5159409044
542,142675931,38.5028605428
543,142675942,0.659147197246
544,142675965,25.5324705274
545,142676106,57.9776798578
546,142676129,268.139864199
547,142676159,50.3346622414
548,142676299,51.6021785121
549,142676300,796.897222452
550,142676377,92.1903735074
551,142676429,27.5156889893
552,142676431,243.260544086
553,142676459,74.2561380009
554,142676538,157.585712114
555,142676539,56.971101715
556,142676588,13.0438633124
557,142676590,91.599397501
558,142676615,11.9622833114
559,142676665,178.785407941
560,142676687,97.4320309467
561,142676904,29.1795868788
562,142676931,50.253119361
563,142676962,8.80603044542
564,142676974,160.091336037
565,142677034,31.6001811316
566,142677117,50.5302041478
567,142777175,71.8961590204
568,142777236,59.4815134556
569,142777239,61.3602848145
570,142777246,12.9684865123
571,142777247,11.9672121621
572,142777258,49.2481198098
573,142777296,172.390540366
574,142777311,121.924166506
575,142777466,126.430101075
576,142777578,
577,142777617,10.7503780099
578,142777679,90.4829006864
579,142777693,35.8309936686
580,142777760,454.616028472
581,142777820,12.7539599649
582,142777842,30.0227180181
583,142777857,45.6858816022
584,142777866,40.4460199098
585,142777889,120.876529639
586,142777968,150.950296852
587,142778058,109.638608328
588,142778078,50.7849529967
589,142778086,103.981220833
590,142778132,12.8941101353
591,142778169,119.708192939
592,142778483,4.60545050266
593,142778492,407.217159757
594,142778537,
595,142778583,3.61591964484
596,142778729,82.0515563052
597,142778803,37.2125542649
598,142779109,66.8530781769
599,142779193,87.2074229145
600,142779244,20.7164332963
601,142779292,126.385963987
602,142779324,42.0125264415
603,142779383,10.3946196736
604,142779384,27.9994592444
