CONTRACT_KEY,M1,M2
142404951,175.423084453,227.288069044
142404952,116.254291232,144.605597635
142404960,237.894625606,283.45224935
142405010,227.510907586,267.658557793
142405022,-15.1031968136,-159.28161651
142405038,56.3282390805,41.886308046
142405123,108.981369064,150.599780887
142405133,44.5924551803,60.4569446916
142405136,51.0332294616,62.5617579009
142405146,1.5015730605,-6.93748294556
142405204,34.6088190739,46.6454295961
142405304,5.65044529587,2.43478450404
142405312,88.7876350739,105.157990148
142405364,11.1576654187,-32.543880197
142405389,97.0831981065,146.797792189
142405434,25.6722600985,18.7138774384
142405460,139.736124532,200.222064236
142405481,8.32597753695,6.66936748768
142405509,44.7048718841,62.1774061449
142405627,126.522287291,97.6638738916
142405691,0.0472882960105,-0.148820792393
142405736,484.680981438,442.724906877
142405746,-20.3701963914,-43.56870654
142405781,12.771328,12.771328
142405814,95.3866355876,121.582783698
142405827,62.1533445,59.9532324828
142405877,100.182626365,105.46820666
142405904,45.3180027586,41.5023668966
142405920,-2.91537339902,-30.4586530049
142405996,273.5067326,401.364897001
142406151,14.0492295567,13.1692453202
142406152,173.253707665,227.14587933
142406157,31.7791536196,41.3155546807
142406192,240.277271961,256.968522404
142406218,8.18375936676,-1.84825631361
142406226,24.7644479475,-12.7142042693
142406275,68.880731936,3.91463576847
142406353,35.2793769247,38.5857569631
142406373,33.3898403941,47.8222628571
142406413,31.7403713544,49.8797049351
142406482,-14.8898836868,-60.6143585559
142406487,338.511064791,98.6132578916
142406504,38.1911800227,29.4136345482
142406618,0.076801,-0.307199
142406670,2.87512252632,-7.13925100752
142406681,47.0004776355,55.3906695567
142406769,21.3214455172,26.026902069
142406864,178.173720944,225.548477046
142406892,156.866736552,98.6615525517
142406930,114.85665734,179.0171933
142406939,-95.0694171592,-257.90347055
142406943,90.8585615764,112.68186798
142406999,107.506506404,130.588803153
142407035,107.264317793,3.08845462069
142407103,21.4702539383,18.1774620509
142407157,19.0846488189,19.3386330709
142407170,106.506011941,115.88570864
142407175,-0.9728,-26.42432
142407198,2037.11174752,2432.45637122
142407264,342.561111015,137.549026995
142407286,174.063561502,204.033684798
142407287,61.5734024828,53.9705202759
142407331,211.200886883,257.286063147
142407380,14.1854031434,3.65121399946
142407394,0.243506220096,0.298625837321
142407460,45.9777967291,65.819511803
142407492,27.3830392431,29.7248601774
142407533,39.180493979,33.8066577988
142407566,-10.6747310827,-41.0399006256
142407595,-16.9984,-43.1104
142407604,1048.4941657,426.568204571
142407607,285.268035623,181.701887419
142407634,99.9899103492,125.816468247
142407642,97.481625064,81.7234121281
142407680,202.837335672,199.525729985
142407699,136.128000981,7.97622588751
142407709,2038.14655748,2716.29004296
142407858,24.9187277136,4.36216561159
142407957,157.930799861,136.354214181
142407997,8.88710935961,5.56390147783
142408066,98.7828839409,139.520857537
142408249,57.7937024631,17.3956918227
142408329,-51.9397052632,-130.498021053
142408414,22.820848867,21.9869446305
142408488,408.418959764,526.513298286
142408572,1.33793684211,1.17625263158
142408588,68.3449227094,36.5159561351
142408635,41.3587546798,9.92523349754
142408649,-30.0409125883,-474.564271871
142408655,0.1024,0.1024
142408657,111.80950069,156.332314483
142408726,396.75769181,315.386634276
142408730,-2.92021325058,-11.7322635221
142408780,258.117203385,415.220383733
142408839,45.0774822082,49.8515976436
142408848,11.8385497537,14.4430912315
142408854,35.6436243972,50.9414752005
142408881,125.978094345,176.912384
142408887,25.9177028874,30.3950014327
142408993,284.290124017,567.497669869
142409013,45.4221026995,-64.7668599803
142409032,360.58464599,386.839153498
142409055,-3.80317635468,-97.7137623645
142409179,3.52967251232,3.41602364532
142409224,150.869053502,224.477079447
142409284,67.4920922167,102.385320985
142409286,36.8001286305,6.00764153695
142409289,122.474077288,146.709266818
142409305,251.910809852,332.228174187
142409310,97.8034479729,96.9660964428
142409353,189.150865028,221.287166791
142449455,55.1048077121,9.56643787246
142449485,123.046942266,-12.4484602956
142449494,6.26966963455,-61.7195715615
142449645,18.3282632512,15.8717982266
142449657,2.70328937932,-257.892352
142449731,335.914105064,283.621053163
142449928,-5.85164547783,-58.4512920591
142449972,294.765618443,310.910158818
142449985,33.9708973399,46.0822195074
142450006,49.3752219113,38.7834501675
142450009,59.1191922044,18.6109527192
142450033,9.55951921182,0.0164949753699
142450120,24.3684508374,19.4893430542
142450157,9.53032854288,6.683246675
142450180,278.318120197,421.61712298
142450201,92.2428764308,112.654655537
142450214,58.9950360591,76.2172279803
142450223,121.396305228,151.267093615
142450300,549.614163232,616.282101911
142450351,15.9357137307,9.96353003653
142450379,18.7877002319,27.7394899148
142450397,66.0988922694,101.768921775
142450427,7.17497352182,8.27070701905
142450540,36.5948494187,12.449761734
142450541,44.6370769299,65.0154913459
142450646,43.9510218012,45.1340537189
142450664,0.677518143995,-9.57892391228
142450665,-447.197535086,-1213.61554286
142450698,9.64041244184,5.90641966289
142450699,3.00576810833,-9.20668803861
142450714,129.900478424,127.996973399
142450759,0.827763776757,0.462398905288
142450796,-103.335039808,-397.24369689
142450799,39.9546640394,41.8024039409
142450822,277.758890246,307.133868768
142450882,122.41703598,51.4476465813
142450925,1352.74054116,1661.76025474
142450988,103.341513,14.1141198621
142451026,11.3910246273,14.2455589177
142451151,187.279359,597.237744
142451234,101.948856691,41.8197664759
142451344,0.176834575261,0.204017883756
142451348,39.5635010837,27.4676145813
142451418,247.833736197,258.134288394
142451427,-0.749349642923,-33.4904862846
142451428,1406.43386851,2116.07646161
142451487,89.2891823085,98.0322036677
142451526,79.822817734,98.4291499507
142451542,183.895016744,205.314368729
142451556,132.093229432,183.462276164
142451566,203.374164442,280.777899155
142451578,150.833333596,192.006154089
142451590,63.0191391954,63.2602448333
142451613,57.0210700821,27.5755213136
142451626,66.6395239409,79.8968685714
142451633,57.4080126108,76.362706601
142451656,399.142790936,599.347875941
142451659,18.9547145247,15.9991920913
142451670,71.8895971626,90.3960969458
142451761,190.493601477,325.267889231
142451843,4.20152195122,2.69187702779
142451854,320.024149587,455.025203888
142452103,21.9970301692,-1.12369303179
142452111,18.160802381,17.3033595238
142452172,216.880052504,363.882912409
142452180,547.328,547.328
142452600,25.7472693039,-37.9810736796
142452647,31.0893404515,16.2671947793
142452648,135.626434207,136.18077131
142452769,139.077291014,141.102373415
142452831,99.0499890819,92.0993985112
142452853,54.8448346798,56.6177267389
142452856,0.00860308810171,-0.334921707539
142452893,267.366223448,267.60192
142452969,52.330435468,70.8123743842
142452973,112.899772632,143.387755789
142453181,316.593301662,376.034067692
142453260,61.4643641305,66.710916399
142453276,53.9020787389,55.6063577537
142453277,9.60386896059,11.2461026108
142453319,495.661280445,545.051545505
142453340,-36.0980529704,-173.070769665
142453354,201.965814951,250.939744764
142453384,1.44106057143,-115.511205202
142453415,194.366524532,233.438717478
142453416,22.0273639947,-12.1403989245
142453516,1.08419959252,-1.97243756251
142453537,26.2008307389,-11.332592867
142453590,43.6743062069,31.8047337931
142453730,147.414833182,142.640597123
142453819,78.2644389641,91.9276226592
142453831,207.652314167,291.028316059
142453839,323.49493815,462.402381961
142453844,3.53665382512,3.90695837438
142453960,127.793888473,55.0663314286
142453987,-76.1905499137,-314.669114392
142454171,-33.2491123829,-122.947011671
142454211,43.5771227108,61.4117723185
142454237,44.8920036256,12.443617734
142454360,94.4013493596,88.6989304433
142454361,6.29099839275,-4.54446334565
142454362,4.93875492843,3.42957297999
142454550,86.3115561416,95.5524639344
142454583,62.9267168473,81.4150116256
142454700,1.740801,1.740801
142454774,23.6728521981,16.8044888094
142454859,388.564814507,628.879660373
142454922,3.77035469196,1.77576975981
142454943,39.3573460696,44.3027366434
142455251,135.639037278,158.299230187
142455354,15.9396184239,20.92482864
142455382,48.3128244335,63.7333564532
142455420,0.276275602441,-2.83178521047
142455644,130.370348138,122.947230897
142455804,25.5744974443,29.0991956498
142455912,122.446399054,110.162363901
142455927,34.0611152709,16.9540098522
142456003,132.935105542,180.872177952
142456026,24.4097134975,19.3476476847
142456093,84.4668342857,194.126262857
142456258,35.9185907389,17.4906766502
142456360,235.381860887,239.128565911
142456393,248.04985064,364.83102266
142456426,14.3593205663,12.927638313
142456435,0.102401,0.102401
142456483,91.7431361576,59.3398314877
142456515,54.31808,59.2711125123
142456523,12.6790823251,-18.4701653153
142456701,-0.191757552631,-8.42337103947
142456735,122.972513103,-603.024772414
142456743,11.9618232291,15.7122963202
142456746,0.204801,0.204801
142456753,2.908161,6.389761
142456757,0.417886372849,-0.448030214149
142456807,132.589574091,172.945564961
142456862,224.809494384,217.3832747
142456869,49.3050926369,41.8328305908
142456886,8.13522088263,8.49975046009
142456910,-18.0796726877,-88.3083560392
142456968,57.6213477175,85.4459702232
142456988,125.672350476,104.797379048
142457035,11.3595901478,3.99375133005
142457112,23.2216212808,19.9746080788
142457114,168.525026995,192.707720197
142457120,106.889508571,205.932982857
142457185,135.802929973,168.325573187
142457190,100.218074876,135.825666671
142457270,140.515373399,132.21000197
142457290,114.018692436,137.450107734
142457301,4.7157217734,5.56248906404
142457385,601.1904,848.552077241
142457392,150.366107081,151.888305818
142457441,1.126401,4.966401
142457451,75.1692379508,100.794732538
142457474,75.7088599015,87.9664425616
142457485,-0.266137928888,-2.71775254369
142457490,101.193347583,174.247149109
142457631,23.9316281788,-86.0121362704
142457684,153.106009944,241.017611513
142457713,113.838458325,157.548100099
142457718,5.15982747267,4.22180818167
142457743,17.7070313866,20.7777785318
142457752,86.8657962538,125.171027271
142457753,174.379224837,215.304060778
142457766,329.245751488,241.045120631
142457775,235.383046305,298.542004335
142457804,14.5069044466,16.3136721479
142457813,47.1557541274,23.6584620469
142457862,329.403883683,291.973591403
142457884,115.711621675,122.024733005
142457886,148.14177734,191.277651232
142458073,53.4674466793,-135.2403875
142458117,2193.10367978,2990.33851121
142458118,106.522154877,46.0676918227
142458126,751.768772462,1096.46589706
142458139,29.1906131232,-16.9234512709
142458159,22.9784213827,27.1188791512
142458190,25.9645653102,29.8200592039
142458215,-4.72639581699,-58.9059821947
142498305,57.8793370382,-6.67115415776
142498334,129.736514757,158.99260431
142498343,86.4982214172,104.010251569
142498351,513.91488,4360.82688
142498355,357.936047291,554.247818719
142498381,65.8005753695,101.906563153
142498384,337.287440463,355.505944133
142498401,25.9893469951,17.1093753695
142498404,53.2645483731,81.4956286334
142498428,91.0692818668,110.292474729
142498437,2.27781528116,-3.54723097971
142498451,79.5537489687,-206.906162533
142498484,10.7287708374,-8.69678660099
142498492,271.496978916,292.032390936
142498494,272.867524729,370.715794286
142498496,17.3033300493,22.7671014778
142498505,59.9760331034,71.5299310345
142498570,104.539844917,140.368292051
142498599,120.550324363,120.352022219
142498618,145.093687488,149.508771941
142498741,10.0815679134,7.35314213936
142498834,296.423820075,475.506784604
142498838,122.9824,205.9264
142498861,189.649773091,76.7071933547
142498900,184.224087015,215.380795271
142499162,-29.96495035,-289.195279768
142499253,3.24026040035,3.41114986945
142499535,0.3020815,0.593923
142499653,111.49854266,113.567148768
142499672,0.665601,1.433601
142499717,8.9736237087,-0.398040913834
142499878,71.7054381509,95.8750925357
142499891,89.4754553695,84.74608867
142499928,265.450263428,383.876656815
142499941,26.5318350944,12.9051698878
142499949,40.8931615187,58.0218955209
142499960,524.320864005,613.05558655
142500011,6.96582305419,9.18417024631
142500096,125.89511279,168.017305671
142500097,170.977995594,205.295204479
142500127,5.65399330049,2.27842522167
142500382,30.2310106648,28.99050634
142500478,0.102401,0.102401
142500569,131.062425852,64.6752649458
142500583,13.125638447,21.5484105331
142500705,141.898734035,147.417555088
142500718,166.385043547,140.010561576
142500728,40.3880228571,19.9875215764
142500752,7.91929028633,7.34956869273
142500866,65.9150817734,-253.402520591
142500958,135.167499301,-33.5098847753
142500969,-535.3668608,-3171.1812608
142501301,4.68474761652,0.587137309587
142501364,76.8687795074,85.8569521182
142501489,-10.848799571,-48.4243834853
142501751,53.985204335,45.8316169458
142501761,-95.7443227512,-485.583973675
142501788,33.8077380175,43.8060384424
142501814,23.5760110345,14.5602206897
142501845,27.1925828153,-80.9556495047
142501913,-104.536020341,-312.823424992
142501922,24.1259693594,-7.93476798244
142502073,203.619509596,249.218022778
142502111,-103.169101434,-564.017063885
142502172,14.7331515268,23.0762994053
142502209,73.5525413708,52.2077648702
142502333,743.837342766,806.323941291
142502349,4.69728503577,0.135156280401
142502476,81.289306798,49.1247101478
142502548,-12.5652612534,-36.2343097548
142502605,69.8482463804,90.7896834266
142502693,-5.56450316288,-97.7296248013
142502725,872.701975031,750.867292833
142502755,40.7476637635,13.2692442167
142502810,161.528181281,163.795408079
142502859,35.9738514286,18.5125580296
142503064,68.8123904,104.5643264
142503071,1.77028259873,3.41411616561
142503149,2.277376,2.277376
142503249,0.102401,0.102401
142503360,132.344307389,160.494496158
142503560,81.1583810837,27.1763042365
142503582,40.417695957,27.4922748902
142503600,86.2692831279,118.512423298
142503609,40.3514982073,49.8384334255
142503728,51.4552288047,58.5817878908
142503760,20.5824,-96.1536
142503846,121.7551133,70.9722293596
142503900,12.9107735961,4.26740650246
142503981,149.05901399,154.949763153
142504008,-10.918912,-49.426432
142504009,15.1475147606,-79.9355518837
142504041,119.396333375,189.692271783
142504077,0.1024,0.1024
142504127,0.11264,0.11264
142504221,455.431821546,700.05821165
142504385,327.95578898,323.026833167
142504490,0.849466009852,-12.9548610837
142504527,0.102401,0.102401
142504594,177.056441296,4.42483651401
142504601,33.3948948177,10.4855380493
142504623,23.7555439606,13.1988959212
142504733,138.826063758,146.419323324
142504752,0.81611370258,1.0762393703
142504840,192.929303594,190.216924256
142504843,48.7848228571,59.5036815764
142504853,164.73286351,188.799079666
142504864,-40.2556544631,-187.210131547
142504933,11.1142236115,-24.2019086821
142504938,99.455452452,168.267915559
142504997,91.0006271626,19.8370268079
142505019,24.3023405698,-14.4826284459
142605225,254.023134633,265.918515613
142605351,159.532879488,219.027879837
142605362,153.051766441,181.963236089
142605416,13.3343610662,6.49646585555
142605599,335.552984615,457.901292308
142605624,0.0775914988124,0.0027981496437
142606166,472.301372952,927.044047238
142606781,13.2506081235,15.0011015777
142606800,67.9803103676,96.4090762706
142606844,513.525634612,594.185696653
142607111,274.383186056,354.083830316
142607113,97.9469515133,120.997490988
142607115,24.9659665881,35.410582231
142607133,21.3516610837,21.6195152709
142607254,15.1305129778,1.22137461084
142607350,24.5462636453,20.1002624631
142607417,0.421667242038,0.56352711465
142607958,47.7383755665,43.4141194089
142608018,21.776368867,12.7052673892
142608084,-1989.93309193,-4603.29157614
142608114,0.102401,0.102401
142608151,0.316394607805,-28.1728030272
142608416,98.363270936,123.701217734
142608806,67.4852703959,71.9545093826
142609125,1.91340772532,0.10382832618
142609245,-103.5264,-161.8944
142609294,21.0781280998,31.1523452297
142609328,336.480452729,144.340184906
142609373,93.5014916934,43.6960396512
142609398,21.8408455567,16.1601727685
